question_id,question_text,decomposition
YELP_train_0,List all the businesses with more than 4.5 stars,return businesses; return stars of #1; return #1 where #2 is higher than 4.5
YELP_train_1,List all businesses with rating 3.5,return businesses; return rating of #1; return #1 where #2 is 3.5
YELP_train_2,List all user ids with name Michelle,return users; return names of #1; return #1 where #2 is Michelle; return user ids of #3
YELP_train_3,Find all states in which there is a Whataburger,return Whataburger; return states of #1
YELP_train_4,"Find all cities in which there is a restaurant called "" MGM Grand Buffet """,return restaurants; return #1 called MGM Grand Buffet; return cities of #2
YELP_train_5,Find the cities of businesses rated below 1.5,return businesses; return rate of #1; return #1 where #2 is lower than 1.5; return cities of #3
YELP_train_6,"Find all cities which has a "" Taj Mahal "" .",return Taj Mahal; return cities of #1
YELP_train_7,List all the reviews which rated a business less than 1,return businesses; return reviews of #1; return rate of #2; return #2 where #3 is lower than 1
YELP_train_8,List all the restaurant rated more than 3.5,return restaurants; return rate of #1; return #1 where #2 is higher than 3.5
YELP_train_9,"find all cities which has a "" Taj Mahal "" restaurant",return restaurants; return #1 that is Taj Mahal; return cities of #2
YELP_train_10,list all the reviews by Niloofar,return Niloofar; return reviews of #1
YELP_train_11,list all the businesses which have a review by Niloofar,return Niloofar; return reviews of #1; return businesses of #2
YELP_train_12,list all the businesses which Niloofar rated 5,return Niloofar; return reviews of #1; return #2 rated 5; return businesses of #3
YELP_train_13,List all the reviews by Michelle for Italian restaurant,return restaurants; return #1 that are Italian; return reviews of #2; return #3 by Michelle
YELP_train_14,"find the number of reviews written for "" Cafe Zinho "" restaurant in Texas",return restaurants; return #1 in Texas; return #2 that is Cafe Zinho; return reviews of #3; return the number of #4
YELP_train_15,List all 5 star Italian restaurant,return restaurants; return #1 that are Italian; return stars of #2; return #2 where #3 is 5
YELP_train_16,List all the neighbourhoods with Italian restaurant in Madison,return restaurants; return #1 that are Italian; return #2 in Madison; return neighbourhoods of #3
YELP_train_17,List all the neighbourhoods with Italian restaurant rated less than 2.5 in Madison,return restaurants; return #1 that are Italian; return #2 rated lower than 2.5; return #3 in Madison; return neighbourhoods of #4
YELP_train_18,find all the restaurant in Texas,return restaurants; return #1 in Texas
YELP_train_19,Find all the reviews for all pet groomers with more than 100 reviews,return pet groomers; return reviews of #1; return number of #2 for each #1; return #1 where #3 is higher than  100; return reviews of #4
YELP_train_20,Find all pet groomers which have more than 100 reviews,return pet groomers; return reviews of #1; return number of #2 for each #1; return #1 where #3 is higher than  100
YELP_train_21,"What are all the gyms in "" Los Angeles "" ?",return gyms; return #1 in Los Angeles
YELP_train_22,Find all bars in Dallas,return bars; return #1 in Dallas
YELP_train_23,"Find all dance schools in "" Los Angeles """,return dance schools; return #1 in Los Angeles
YELP_train_24,"Find all restaurant in "" Los Angeles "" with more than 100 reviews",return restaurant; return #1 in Los Angeles; return reviews of #2; return number of #3 for each #2; return #2 where #4 is higher than 100
YELP_train_25,Find all hotels in Dallas with at least 50 reviews,return hotels; return #1 in Dallas; return reviews of #2; return number of #3 for each #2; return #2 where #4 is at least 50
