example_id,db_id,question,qdmr,sql_gold,sql_ground,denotation_gold,denotation_ground,correct_denotation
YELP_train_0,yelp,List all the businesses with more than 4.5 stars,return businesses; return stars of #1; return #1 where #2 is higher than 4.5,select business_0.name from business as business_0 where business_0.rating > 4.5 ;,SELECT business.bid FROM business WHERE business.bid IN ( SELECT business.bid FROM business ) AND business.rating > 4,"[('Ziltzer Vivian Gee, MD',), (""Commander's Palace"",), ('The Onion',), ('IronGloves Boxing Gym',), ('AcmePrints',), ('Las Vegas Paper Doll',), ('Lush Floral',), ('Perihelion Arts',), ('Arizona Import Specialists',), (""DA's Modern"",), ('Wet Paint Artist Supply',), ('Prairie Fruits Farm & Creamery',), ('The Art Theater',), ('Dankle W Casey, DDS',), ('Sun Devil Auto Glass',), ('Charlie Auto',), ('Blossom Day Spa',), ('Cost Plus World Market',), ('Klose Knit',), ('Southern Nevada AC & Heating',), ('HTC Body Piercing',), ('Phoenix Mercury',), ('Siphon Draw',), ('Arizona Roller Derby',), ('Newsroom Lounge',), ('Elie Tahari',), ('Joe Madia Barber Shop',), (""That's Amore Gelato"",), ('Celestial Soul Premier Massage',), (""Bak'd"",), ('Visual Art Images - Spray Painting Artists',), (""Nature's Health Shoppe"",), (""Drew's Plumbing"",), ('Thomas M. Siebel Center for Computer Science',), ('Michael Ivanov - SecurityNational Mortgage Company',), ('AA Affordable Locksmith',), ('Dent Pro',), ('J & M Painting',), ('Dream Dinners',), ('Firewood by Jerry',), ('Rodriguez Auto Body',), ('Cactus Sunscreen',), ('G & H Air Conditioning and Heating',), ('A Wise Move',), ('Accurate Auto Glass',), ('Arizona Art Restoration',), ('Bruce Brown Catering',), ('Nordic Air & Htg',), ('Greenbaum Surgery Center',), ('Pospisil Dentistry of Gilbert',), ('Pop-Ins',), (""Frank's Plumbing"",), ('Wells Fargo Bank',), ('Vogel &amp; Matesi, DDS',), ('Hilarry A Douglas, DDS, PC',), ('Dark Star Paintball',), ('Wells Fargo Bank',), ('Dons Mobile Locks',), ('Precision Mixed Martial Arts',), ('Babcock Plumbing llc',), ('Salon Di Vita',), (""Bennett's Carpet & Upholstery Cleaning"",), ('Alpha Dental',), ('A Klearly Kleaned Pool',), ('Bell Scott CPA',), ('International Minute Press',), ('Shear Perfection',), ('Arizona Music Academy',), ('Chiropractic Health Innovations DC',), ('Environmental Air',), (""Carter's Repair Mobile Service"",), ('Roy Dossey Plumbing',), ('Cactus Valley Pool Supply',), ('All Service Plumbing',), ('Parties R US',), ('U-Haul Moving & Storage Of Litchfield Park And Waddell',), ('Commonwealth Tow & Transport',), ('Clipology Salon',), ('Saffron Market',), ('Phoenix Rack and Axle',), ('Hon-Man Auto Care',), ('Dental Innovations',), (""It's A Dog's World"",), (""Augusta's House & Pet Sitting, LLC"",), ('Lizard Heights Glass',), ('Fantastic Sams Hair Salons',), ('Coast To Coast Trophies',), ('Chandler Symphony Orchestra',), ('Neighborhood Vision Center',), ('Schiller Heating & Cooling',), ('Philosophy',), ('Step By Step Pediatrics',), ('Universal Drain',), ('Drain Squad',), ('Karstadt Taekwondo',), ('The Good Feet Store',), ('Spooner Physical Therapy Desert Ridge',), ('The Montecito',), ('Mozaik Skin & Body',), ('Dunn-Edwards Paints',), ('Apple Dentistry',), ('Dependable Dental Staffing',), ('Desert Rose Door Refinishing',), ('Choice Roofing Company',), ('SmartStyle',), ('Signarama',), ('Copa Tan',), ('Garrett Family Dental Care',), ('Gilbert Center For Family & Cosmetic Dentistry',), ('The UPS Store',), ('Dodie Chiropractic',), (""Bo's Motor Works"",), (""Sherri's Hallmark Shop"",), ('Water N Ice',), ('The Elements of Health',), ('American Legion Glendale Post 29',), ('Prosource Of Phoenix North',), ('Shawn Young DMD',), ('F & F Carpet Cleaning, Inc',), ('AFC Physical Medicine & Chiropractic Centers',), ('Super Vacuum & Janitor Supply',), (""Econo Lube N' Tune"",), ('J Julian Fine Skin Care',), (""Stormin' Norman Pest Control"",), ('Murbach Nancy L',), ('La Bonne Vie Skin Studio',), ('Smile Creations Cosmetic & Family Dentistry',), ('The Body Shop',), ('Fetch Doggie Store & Kitty Too',), ('Vetcare Internal Medicine',), ('360 Adventures',), ('Stephen Ossipinsky, DC',), ('A Better Garage Door Company',), ('Douglas Benting, DDS, MS, FACP',), ('Prenatal Peek',), ('Phoenix Wine',), ('Affordable Party & Event Rentals',), (""Andy's Hobby Headquarters"",), ('Valley Foam Roofing',), ('Slide & Bounce Around',), (""Heaven's Angels Therapeutic Massage"",), ('VCA Elliot Park Animal Hospital',), ('S & S Tire and Automotive Service Center',), ('MacDonald Orthodontics',), ('Lang Printing and Mailing',), ('Arizona Truck Pros',), ('Bryan T. Tran, DDS & Associates, PC',), ('Goodyear Self Storage & Rv',), ('Michael Recuber, DDS PC',), ('South Mountain Vet Clinic',), ('Arizona Barber Company',), ('Akers Eye Care Center',), ('Dolce Boutique',), ('Desert State Home Inspections',), ('Craig Davis Magician & Juggler',), ('Gold Medal Gymnastics',), ('Basically Bows & Bowties',), ('William Kohl - State Farm Insurance Agent',), ('San Tan Chiropractic',), ('Extreme Micro',), ('American Abatement',), ('Exklusiv Motorsports',), ('Garage Doors America',), ('Mathnasium of Scottsdale',), ('Gamestop',), (""Amy's Jewelry"",), ('Saguaro Lake Ranch Stable',), ('Arcadia Dental Arts',), ('360 Physical Therapy',), ('The Junk Guys',), ('The Oasis Tree Service',), ('The Egoscue Method',), ('Copperstate Lock & Security',), (""O'Reilly Auto Parts"",), ('Dental Studio 101',), ('Cartridge World',), ('Checklist Inspections',), ('Hair By Di',), ('Polly Paws Professional Pet Sitter',), ('Wild West Jeep Tours',), ('Keepsake Trophy & Engraving',), ('West Valley Naturopathic Center',), ('Water and Ice',), ('A Better Tint & Window Treatments',), ('Arizona Pain & Posture',), ('North Valley Rayne',), ('Illume Weddings',), ('San Tan Physical Therapy',), ('Custom Weed & Spray Service',), ('Ocotillo Barber Shop',), ('Pinnacle Capital Mortgage',), ('Gentle Dental Associates & Spa',), (""McClendon's Select"",), ('Hi-Health ',), ('Stellar Garage Door Service Inc',), ('Superior Plus',), ('Evolution Cleaning Company',), (""Dave's Drywall Repair"",), ('Western Delights',), ('Lebaron Chiropractic',)]","[(20016,), (20017,), (20031,), (20047,), (20049,), (20082,), (20087,), (20092,), (20094,), (20098,), (20126,), (20132,), (20139,), (20160,), (20179,), (20183,), (20185,), (20189,), (20196,), (20199,), (20210,), (20227,), (20243,), (20245,), (20257,), (20263,), (20265,), (20270,), (20281,), (20285,), (20290,), (20295,), (20299,), (20312,), (20313,), (20317,), (20325,), (20327,), (20343,), (20345,), (20355,), (20359,), (20366,), (20377,), (20379,), (20402,), (20403,), (20407,), (20417,), (20418,), (20419,), (20435,), (20457,), (20461,), (20468,), (20477,), (20479,), (20487,), (20495,), (20498,), (20500,), (20508,), (20521,), (20540,), (20541,), (20547,), (20549,), (20554,), (20556,), (20559,), (20565,), (20572,), (20586,), (20588,), (20590,), (20593,), (20601,), (20613,), (20629,), (20632,), (20633,), (20634,), (20639,), (20643,), (20648,), (20649,), (20653,), (20684,), (20690,), (20696,), (20701,), (20711,), (20714,), (20717,), (20726,), (20740,), (20742,), (20750,), (20754,), (20776,), (20781,), (20792,), (20809,), (20819,), (20824,), (20829,), (20850,), (20853,), (20858,), (20867,), (20869,), (20884,), (20885,), (20889,), (20902,), (20910,), (20921,), (20925,), (20937,), (20938,), (20941,), (20971,), (20975,), (20981,), (20989,), (20990,), (20991,), (20994,), (20997,), (21000,), (21001,), (21008,), (21017,), (21029,), (21037,), (21038,), (21063,), (21065,), (21067,), (21072,), (21078,), (21079,), (21084,), (21100,), (21111,), (21114,), (21125,), (21126,), (21132,), (21141,), (21145,), (21149,), (21150,), (21158,), (21159,), (21170,), (21171,), (21178,), (21190,), (21200,), (21213,), (21214,), (21217,), (21223,), (21235,), (21238,), (21240,), (21242,), (21247,), (21253,), (21262,), (21264,), (21266,), (21270,), (21276,), (21290,), (21294,), (21298,), (21299,), (21300,), (21309,), (21311,), (21315,), (21316,), (21318,), (21320,), (21324,), (21336,), (21338,), (21340,), (21358,), (21359,), (21362,), (21383,), (21386,), (21390,), (21392,), (21393,), (21395,), (21417,)]",False
YELP_train_1,yelp,List all businesses with rating 3.5,return businesses; return rating of #1; return #1 where #2 is 3.5,select business_0.name from business as business_0 where business_0.rating = 3.5 ;,SELECT business.bid FROM business WHERE business.bid IN ( SELECT business.bid FROM business ) AND business.rating = 3,"[('Union Grill',), ('Hubbard Avenue Diner',), ('Original Pancake House',), (""Papa Del's Pizza"",), (""Gumby's Pizza"",), ('Boltini Lounge',), ('Amsterdam',), ('Golden Phoenix Chinese Restaurant',), ('Last Chance Clearance Store',), ('Los Dos Molinos',), ('Sapporo',), ('The Coffee Plantation',), ('CopperWynd Resort and Club',), ('Pei Wei',), (""Mike's Rigatoni Bistro"",), ('Ethel M Chocolates',), ('Body English',), ('Jasmine',), (""Emeril's New Orleans Fish House"",), ('Mallorca Restaurant',), ('Original Hot Dog Shop',), ('Mad Mex - Oakland',), ('Lucca',), ('Panther Hollow Inn',), (""P&G's Pamela's Diner"",), (""Mitchell's Restaurant Bar & Banquet Center"",), ('Primanti Bros.',), (""Ru San's"",), ('Boris & Natasha',), ('Starbucks',), ('Caribou Coffee',), ('Brocach',), ('Majestic Theatre',), ('Argus',), ('Essen Haus',), (""Paul's Club"",), ('Harvest',), ('Electric Earth Cafe',), (""Woodman's Market"",), (""Kipp's Down Home Cookin'"",), (""Nick's Bar & Restaurant"",), ('City Bar',), ('Silver Mine Subs',), ('Budget Bicycle Center',), ('La Hacienda',), ('Peter Piper Pizza',), ('Zia Record Exchange',), ('Los Sombreros',), ('Mountain View Coffee',), ('Orleans Hotel & Casino',), ('New York New York Hotel Casino',), ('The Mirage',), ('Spearmint Rhino',), ('Ichiban Sushi',), ('V Bar',), ('New Frontier Hotel & Casino',), ('Mandalay Bay Resort & Casino',), ('Desert Rose Resort',), ('Arpa',), ('Pink Taco',), ('Rumjungle',), ('Canyon Ranch Cafe',), ('Bar at Times Square',), (""Mr. Lucky's 24-7"",), ('Bungalow Bar & Grill',), (""Biaggi's Ristorante Italiano"",), ('Crystal Corner',), ('Roman Candle Pizzeria',), ('The Brass Ring',), ('Hofbräuhaus Las Vegas',), ('Il Fornaio',), ('Jubilee',), ('Mamma Mia!',), ('The Buffet at Bellagio',), ('Bob Baskin Park',), ('Costa di Mare',), ('Orpheum Theater',), ('Fusia',), ('Diego Mexican Cuisine',), ('Cafe Belle Madeleine',), ('La Creperie',), ('Ghostbar',), ('Market Street Diner',), ('RM Seafood',), ('CoCoLiquot',), ('Green Valley Ranch Resort & Spa',), ('House of Blues',), ('Big Apple Bar at New York, New York',), ('Jade Palace',), (""Eli's American Grille"",), ('Taiwan Express',), ('Tryst Nightclub',), ('Caffe Boa Ahwatukee',), ('Rancho De Tia Rosa',), ('Cafe Ba-Ba-Reeba',), ('VooDoo Rooftop Nightclub & Lounge',), ('The Greene House',), ('Sweet Tomatoes',), ('Shady Grove',), ('Blue Wasabi Sushi & Martini Bar',), ('Lao Laan-Xang',), (""AJ's Steakhouse"",), ('Margaritaville',), ('Sushi Mon',), ('Sugar & Ice',), ('The Buffet',), (""Tex Tubb's Taco Palace"",), ('Drip Coffee Lounge',), ('FIX',), (""Abuelo's"",), ('Corsa Cucina',), ('Quaker Steak & Lube',), ('Shintaro',), ('Red 8',), ('Country Thunder',), ('Sushi Eye',), (""Mother Fool's Coffeehouse"",), ('Lure Ultra-Lounge',), ('Blue Man Group',), ('RA Sushi Bar Restaurant',), ('Terrace Pointe Cafe',), ('Hilton Grand Vacations on the Boulevard',), ('I-Bar',), ('Drugstore Cafe',), ('CVS Pharmacy',), ('Pinot Brasserie',), ('Carnival World Buffet',), ('Tamba',), ('Panera Bread',), ('Sauce Pizza & Wine',), (""Rosie McCaffrey's Irish Pub & Restaurant"",), ('El Encanto',), ('Caramel Bar & Lounge',), ('Le Village Buffet',), ('Cantina 1511',), ('Food 4 Less',), ('Woori Jib Restaurant',), ('The Coffee Cup',), ('L&L Hawaiian BBQ',), ('Residence Inn Las Vegas - Convention Center',), ('Renaissance Las Vegas Hotel',), ('Noodle Asia',), ('Cracker Barrel Old Country Store',), ('Cold Stone Creamery',), ('China King Restaurant',), (""Shane's Rib Shack"",), ('The Prime Rib Loft',), ('Divebar',), ('Zest - Spirited Dining',), (""Corleone's"",), ('Las Vegas South Premium Outlets',), (""Sree's Foods"",), ('Yard House',), ('Slices',), ('Chipotle Mexican Grill',), ('GameStop',), (""McCormick & Schmick's Seafood & Steaks"",), ('Orchids Garden Chinese Restaurant',), ('Dia de los Muertos Festival',), ('Mandalay Bay Events Center',), ('Shark Reef Aquarium',), ('Oasis Spa',), ('The Original Pancake House',), ('Coca Cafe',), ('Goodwill Industries',), ('Omelet House',), ('Five Guys Burgers and Fries',), ('My Big Fat Greek Restaurant',), ('Compass Arizona Grill',), ('Burberry',), ('Cook Out',), ('Red Robin Gourmet Burgers',), ('Zephyr Espresso Caffe',), ('Restaurant Mexico',), (""Fleming's Prime Steakhouse & Wine Bar"",), ('Steakhouse 46',), ('Chino Bandido',), ('Red Owl Sports Grill',), ('The Green Mango',), ('Autumn Court',), ('Sun Penang',), ('BS West',), ('Circa 1900',), ('Saks Fifth Avenue OFF 5TH',), ('Taco del Mar',), ('Zink American Kitchen',), (""Carrabba's Italian Grill"",), ('SpringHill Suites Marriott',), ('IKEA',), ('Chanpen Thai Cuisine',), ('Cucina Tagliani',), ('Elephant Bar Restaurant',), ('Lola',), ('Crowne Plaza Phoenix Airport',), ('Centre for Wellbeing',), (""Manuel's Mexican Restaurant & Cantina"",), ('El Penasco Mexican Kitchen',), (""Trader Vic's"",), ('Ping Pang Pong',), ('Mesa Amphitheatre',)]","[(20005,), (20006,), (20007,), (20008,), (20009,), (20014,), (20020,), (20035,), (20043,), (20046,), (20051,), (20057,), (20060,), (20063,), (20073,), (20080,), (20083,), (20084,), (20099,), (20113,), (20121,), (20125,), (20131,), (20140,), (20144,), (20146,), (20147,), (20148,), (20152,), (20157,), (20165,), (20169,), (20171,), (20180,), (20181,), (20184,), (20187,), (20208,), (20225,), (20226,), (20238,), (20241,), (20247,), (20249,), (20255,), (20268,), (20275,), (20276,), (20279,), (20287,), (20292,), (20305,), (20315,), (20323,), (20324,), (20332,), (20336,), (20342,), (20349,), (20360,), (20373,), (20383,), (20386,), (20393,), (20396,), (20399,), (20401,), (20421,), (20426,), (20427,), (20431,), (20433,), (20453,), (20458,), (20462,), (20466,), (20467,), (20471,), (20475,), (20476,), (20481,), (20484,), (20485,), (20490,), (20499,), (20503,), (20504,), (20506,), (20511,), (20518,), (20531,), (20537,), (20538,), (20546,), (20550,), (20563,), (20576,), (20585,), (20591,), (20596,), (20600,), (20606,), (20609,), (20612,), (20614,), (20616,), (20619,), (20620,), (20623,), (20628,), (20631,), (20636,), (20646,), (20650,), (20655,), (20660,), (20671,), (20672,), (20700,), (20703,), (20704,), (20707,), (20712,), (20716,), (20723,), (20727,), (20733,), (20734,), (20736,), (20737,), (20741,), (20747,), (20752,), (20762,), (20768,), (20775,), (20784,), (20787,), (20802,), (20808,), (20811,), (20816,), (20817,), (20822,), (20832,), (20837,), (20839,), (20845,), (20846,), (20852,), (20871,), (20881,), (20882,), (20891,), (20896,), (20898,), (20900,), (20906,), (20908,), (20918,), (20922,), (20924,), (20926,), (20936,), (20943,), (20946,), (20949,), (20952,), (20955,), (20974,), (20978,), (21004,), (21005,), (21013,), (21022,), (21027,), (21032,), (21039,), (21050,), (21058,), (21066,), (21075,), (21077,), (21083,), (21087,), (21091,), (21094,), (21095,), (21096,), (21106,), (21113,), (21115,), (21117,), (21128,), (21129,), (21134,), (21136,), (21146,), (21153,), (21156,)]",False
YELP_train_100,yelp,"Return me the number of cities that has "" Panda Express "" .",return Panda Express; return cities of #1; return number of #2,"select count(distinct(business_0.city)) from business as business_0 where business_0.name = ""Panda Express"" ;",SELECT COUNT(DISTINCT business.city) FROM business WHERE business.name IN ( SELECT business.name FROM business WHERE business.name = 'Panda Express' ),"[(24,)]","[(24,)]",True
YELP_train_101,yelp,Return me the number of tips that are written by Michelle .,return Michelle; return tips written by #1; return number of #2,"select count(distinct(tip_0.text)) from tip as tip_0, user as user_0 where user_0.name = ""Michelle"" and tip_0.user_id = user_0.user_id ;","SELECT COUNT(DISTINCT tip.text) FROM user, tip WHERE user.user_id = tip.user_id AND user.name IN ( SELECT user.name FROM user WHERE user.name = 'Michelle' )","[(4335,)]","[(4335,)]",True
YELP_train_102,yelp,Return me the number of tips that are written by Michelle in 2010 .,return Michelle; return tips written by #1; return #2 in 2010; return number of #3,"select count(distinct(tip_0.text)) from tip as tip_0, user as user_0 where tip_0.year = 2010 and user_0.name = ""Michelle"" and tip_0.user_id = user_0.user_id ;","SELECT COUNT(DISTINCT tip.text) FROM user, tip WHERE user.user_id = tip.user_id AND user.name IN ( SELECT user.name FROM user WHERE user.name = 'Michelle' ) AND tip.year = 2010","[(172,)]","[(172,)]",True
YELP_train_103,yelp,"Find the total checkins in "" Brighton Heights "" neighbourhood",return neighbourhoods; return #1 that is Brighton Heights; return checkins of #2; return sum of #3,"select sum(checkin_0.count) from business as business_0, checkin as checkin_0, neighbourhood as neighbourhood_0 where neighbourhood_0.neighbourhood_name = ""Brighton Heights"" and business_0.business_id = checkin_0.business_id and business_0.business_id = neighbourhood_0.business_id ;",SELECT neighborhood.id FROM neighborhood,,"[(20000,), (20001,), (20002,), (20003,), (20004,), (20005,), (20006,), (20007,), (20008,), (20009,), (20010,), (20011,), (20012,), (20013,), (20014,), (20015,), (20016,), (20017,), (20018,), (20019,), (20020,), (20021,), (20022,), (20023,), (20024,), (20025,), (20026,), (20027,), (20028,), (20029,), (20030,), (20031,), (20032,), (20033,), (20034,), (20035,), (20036,), (20037,), (20038,), (20039,), (20040,), (20041,), (20042,), (20043,), (20044,), (20045,), (20046,), (20047,), (20048,), (20049,), (20050,), (20051,), (20052,), (20053,), (20054,), (20055,), (20056,), (20057,), (20058,), (20059,), (20060,), (20061,), (20062,), (20063,), (20064,), (20065,), (20066,), (20067,), (20068,), (20069,), (20070,), (20071,), (20072,), (20073,), (20074,), (20075,), (20076,), (20077,), (20078,), (20079,), (20080,), (20081,), (20082,), (20083,), (20084,), (20085,), (20086,), (20087,), (20088,), (20089,), (20090,), (20091,), (20092,), (20093,), (20094,), (20095,), (20096,), (20097,), (20098,), (20099,), (20100,), (20101,), (20102,), (20103,), (20104,), (20105,), (20106,), (20107,), (20108,), (20109,), (20110,), (20111,), (20112,), (20113,), (20114,), (20115,), (20116,), (20117,), (20118,), (20119,), (20120,), (20121,), (20122,), (20123,), (20124,), (20125,), (20126,), (20127,), (20128,), (20129,), (20130,), (20131,), (20132,), (20133,), (20134,), (20135,), (20136,), (20137,), (20138,), (20139,), (20140,), (20141,), (20142,), (20143,), (20144,), (20145,), (20146,), (20147,), (20148,), (20149,), (20150,), (20151,), (20152,), (20153,), (20154,), (20155,), (20156,), (20157,), (20158,), (20159,), (20160,), (20161,), (20162,), (20163,), (20164,), (20165,), (20166,), (20167,), (20168,), (20169,), (20170,), (20171,), (20172,), (20173,), (20174,), (20175,), (20176,), (20177,), (20178,), (20179,), (20180,), (20181,), (20182,), (20183,), (20184,), (20185,), (20186,), (20187,), (20188,), (20189,), (20190,), (20191,), (20192,), (20193,), (20194,), (20195,), (20196,), (20197,), (20198,), (20199,)]",False
YELP_train_104,yelp,Find the total checkins in Sunday,return checkins; return #1 in Sunday; return sum of #2,"select sum(checkin_0.count) from checkin as checkin_0 where checkin_0.day = ""Sunday"" ;",SELECT SUM(checkin.count) FROM checkin WHERE checkin.day = 'Sunday',"[(1096936,)]","[(1096936,)]",True
YELP_train_105,yelp,Find the total number of reviews written in March,return reviews; return #1 written in March; return number of #2,"select count(distinct(review_0.text)) from review as review_0 where review_0.month = ""March"" ;",SELECT COUNT(DISTINCT review.text) FROM review WHERE review.month = 'March',"[(248371,)]","[(248371,)]",True
YELP_train_106,yelp,Find the number of tips written in each month,return tips; return months of #1; return number of #1 for each #2,"select tip_0.month, count(distinct(tip_0.text)) from tip as tip_0 group by tip_0.month ;","SELECT tip.month, COUNT(DISTINCT tip.text) FROM tip WHERE tip.text IN ( SELECT tip.text FROM tip ) GROUP BY tip.month","[('April', 57371), ('August', 57788), ('December', 43269), ('February', 48512), ('January', 48294), ('July', 64767), ('June', 60004), ('March', 59050), ('May', 60264), ('November', 42089), ('October', 44168), ('September', 44802)]","[('April', 57371), ('August', 57788), ('December', 43269), ('February', 48512), ('January', 48294), ('July', 64767), ('June', 60004), ('March', 59050), ('May', 60264), ('November', 42089), ('October', 44168), ('September', 44802)]",True
YELP_train_107,yelp,How many neighbourhoods have a business with rating 5 in Madison ?,return businesses; return ratings of #1; return #1 where #2 is 5; return #3 in Madison; return neighbourhoods of #4; return number of #5,"select count(distinct(neighbourhood_0.neighbourhood_name)) from business as business_0, neighbourhood as neighbourhood_0 where business_0.city = ""Madison"" and business_0.rating = 5 and business_0.business_id = neighbourhood_0.business_id ;","SELECT COUNT(neighborhood.business_id) FROM neighborhood, business, checkin WHERE checkin.business_id = neighborhood.business_id AND business.business_id = checkin.business_id AND checkin.cid IN ( SELECT checkin.cid FROM business, checkin WHERE business.business_id = checkin.business_id AND checkin.cid IN ( SELECT checkin.cid FROM checkin ) AND business.rating = 5 AND business.city = 'Madison' )",,ERROR,False
