example_id,db_id,question,qdmr,sql_gold,sql_ground,denotation_gold,denotation_ground,correct_denotation
ACADEMIC_train_0,academic,return me the homepage of PVLDB .,return homepages ;return #1 of  PVLDB,"select journal_0.homepage from journal as journal_0 where journal_0.name = ""PVLDB""",SELECT journal.homepage FROM journal WHERE journal.name = 'PVLDB',"[('http://www.vldb.org/pvldb/',)]","[('http://www.vldb.org/pvldb/',)]",True
ACADEMIC_train_1,academic,"return me the homepage of "" H. V. Jagadish "" .",return homepages ;return #1 of  H. V. Jagadish,"select author_0.homepage from author as author_0 where author_0.name = ""H. V. Jagadish""",SELECT author.homepage FROM author WHERE author.name = 'H. V. Jagadish',"[('http://www.eecs.umich.edu/~jag/',)]","[('http://www.eecs.umich.edu/~jag/',)]",True
ACADEMIC_train_10,academic,"return me the number of references of "" Making database systems usable "" .",return references ;return #1 of  Making database systems usable ;return number of  #2,"select publication_0.reference_num from publication as publication_0 where publication_0.title = ""Making database systems usable""",SELECT publication.reference_num FROM publication WHERE publication.title = 'Making database systems usable',"[(83,)]","[(83,)]",True
ACADEMIC_train_100,academic,"return me the number of papers in VLDB conference containing keyword "" Information Retrieval "" .",return papers ;return #1 in VLDB conference ;return #2 containing keyword Information Retrieval ;return number of  #3,"select count ( distinct ( publication_0.title ) ) from conference as conference_0, keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where conference_0.name = ""VLDB"" and keyword_0.keyword = ""Information Retrieval"" and conference_0.cid = publication_0.cid and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid","SELECT COUNT(DISTINCT publication.title) FROM publication, conference, publication_keyword, keyword WHERE publication.pid = publication_keyword.pid AND publication_keyword.kid = keyword.kid AND publication.cid = conference.cid AND conference.name = 'VLDB' AND keyword.keyword = 'Information Retrieval'","[(48,)]","[(48,)]",True
ACADEMIC_train_102,academic,"return me the total citations of the papers containing keyword "" Natural Language """,return papers ;return #1 containing keyword Natural Language ;return citations of  #2 ;return number of  #3,"select sum ( publication_0.citation_num ) from keyword as keyword_0, publication as publication_0, publication_keyword as publication_keyword_0 where keyword_0.keyword = ""Natural Language"" and keyword_0.kid = publication_keyword_0.kid and publication_0.pid = publication_keyword_0.pid","SELECT SUM(publication.citation_num) FROM publication_keyword, keyword, publication WHERE publication_keyword.pid = publication.pid AND publication_keyword.kid = keyword.kid AND publication_keyword.kid IN ( SELECT publication_keyword.kid FROM publication_keyword, keyword WHERE publication_keyword.kid = keyword.kid AND keyword.keyword = 'Natural Language' )","[(115321,)]","[(115321,)]",True
ACADEMIC_train_103,academic,return me the number of the organizations .,return organizations ;return number of  #1,select count ( distinct ( organization_0.name ) ) from organization as organization_0,SELECT COUNT(organization.oid) FROM organization,"[(11302,)]","[(11302,)]",True
ACADEMIC_train_104,academic,"return me the number of the organizations in "" North America "" .",return organizations ;return #1 in North America ;return number of  #2,"select count ( distinct ( organization_0.name ) ) from organization as organization_0 where organization_0.continent = ""North America""",SELECT COUNT(organization.oid) FROM organization WHERE organization.continent = 'North America',"[(2332,)]","[(2332,)]",True
ACADEMIC_train_105,academic,return me the number of organizations in Databases area .,return Databases area ;return organizations of #1 ;return number of #2,"select count ( distinct ( organization_0.name ) ) from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = ""Databases"" and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did","SELECT COUNT(DISTINCT organization.oid) FROM organization, author, domain_author, domain WHERE domain.did = domain_author.did AND domain_author.aid = author.aid AND author.oid = organization.oid AND domain.name IN ( SELECT domain.name FROM domain WHERE domain.name = 'Databases' )","[(4366,)]","[(4366,)]",True
ACADEMIC_train_106,academic,"return me the number of organizations in Databases area located in "" North America "" .",return organizations ;return #1 in Databases area ;return #2 located in North America ;return number of  #3,"select count ( distinct ( organization_0.name ) ) from author as author_0, domain as domain_0, domain_author as domain_author_0, organization as organization_0 where domain_0.name = ""Databases"" and organization_0.continent = ""North America"" and author_0.aid = domain_author_0.aid and author_0.oid = organization_0.oid and domain_0.did = domain_author_0.did","SELECT COUNT(DISTINCT organization.oid) FROM organization, author, domain_author, domain WHERE organization.oid = author.oid AND author.aid = domain_author.aid AND domain_author.did = domain.did AND domain.name = 'Databases' AND organization.continent = 'North America'","[(934,)]","[(934,)]",True
ACADEMIC_train_107,academic,"return me the number of papers in "" University of Michigan "" .",return University of Michigan ;return papers in #1 ;return number of #2,"select count ( distinct ( publication_0.title ) ) from author as author_0, organization as organization_0, publication as publication_0, writes as writes_0 where organization_0.name = ""University of Michigan"" and author_0.aid = writes_0.aid and author_0.oid = organization_0.oid and publication_0.pid = writes_0.pid","SELECT COUNT(DISTINCT publication.title) FROM organization, publication, writes, author WHERE organization.oid = author.oid AND author.aid = writes.aid AND writes.pid = publication.pid AND organization.name IN ( SELECT organization.name FROM organization WHERE organization.name = 'University of Michigan' )","[(21237,)]","[(21237,)]",True
