example_id,db_id,question,qdmr,sql_gold,sql_ground,denotation_gold,denotation_ground,correct_denotation
IMDB_train_0,imdb,"What year is the movie "" Dead Poets Society "" from ?",return movies; return #1 that is Dead Poets Society; return year of #1,"select movie_0.release_year from movie as movie_0 where movie_0.title = ""Dead Poets Society"" ;",SELECT movie.release_year FROM movie WHERE movie.mid IN ( SELECT movie.mid FROM movie ),"[(1989,)]","[(2012,), (2014,), (2015,), (2005,), (2009,), (2010,), (2010,), (2010,), (2015,), (2014,), (2010,), (2005,), (None,), (2013,), (2011,), (2015,), (2015,), (2007,), (2011,), (2011,), (2005,), (2013,), (2014,), (None,), (2008,), (2020,), (2014,), (2013,), (2016,), (2002,), (2012,), (2004,), (2013,), (2015,), (2009,), (2013,), (2014,), (2008,), (2013,), (2015,), (2008,), (None,), (2015,), (2016,), (2009,), (2014,), (2011,), (2007,), (2009,), (2005,), (2015,), (2013,), (2017,), (2016,), (2014,), (None,), (2016,), (2016,), (2014,), (2016,), (2015,), (2014,), (2015,), (2015,), (2016,), (2014,), (2015,), (None,), (2015,), (2015,), (2015,), (2016,), (1963,), (2014,), (2015,), (2015,), (2015,), (2014,), (2016,), (2013,), (2015,), (2014,), (2015,), (2013,), (2015,), (2008,), (2017,), (2014,), (2013,), (2015,), (2015,), (2014,), (2014,), (2014,), (2014,), (2013,), (2014,), (2013,), (2014,), (2014,), (2015,), (2015,), (2016,), (None,), (2013,), (2016,), (2013,), (2016,), (2016,), (2013,), (2016,), (2012,), (2015,), (2016,), (2015,), (2014,), (2016,), (2015,), (2015,), (2015,), (2016,), (2016,), (2016,), (2016,), (2015,), (2014,), (2014,), (2016,), (2016,), (2011,), (2016,), (2013,), (2016,), (2012,), (2013,), (2013,), (2016,), (2013,), (2016,), (2015,), (None,), (2014,), (2015,), (2016,), (2015,), (2017,), (2016,), (2015,), (2014,), (2015,), (2014,), (2016,), (None,), (2015,), (2015,), (None,), (2015,), (2015,), (2015,), (2013,), (2015,), (2015,), (2015,), (2016,), (2014,), (2015,), (None,), (2014,), (2014,), (2012,), (2011,), (2015,), (2015,), (2014,), (2016,), (2016,), (2015,), (2014,), (2014,), (2016,), (2015,), (None,), (2014,), (2014,), (2015,), (2015,), (2014,), (2015,), (2016,), (2015,), (2014,), (2015,), (2016,), (2014,), (2016,), (2013,), (2015,), (2014,), (2012,), (2016,)]",False
IMDB_train_1,imdb,"What year was "" Ellen Page "" born ?",return Ellen Page; return year born of #1,"select actor_0.birth_year from actor as actor_0 where actor_0.name = ""Ellen Page"" ;",SELECT actor.birth_year FROM actor WHERE actor.name IN ( SELECT actor.name FROM actor WHERE actor.name = 'Ellen Page' ),"[(1987,)]","[(1987,)]",True
IMDB_train_10,imdb,"In what year was "" Kevin Spacey "" born ?",return Kevin Spacey; return year born of #1,"select actor_0.birth_year from actor as actor_0 where actor_0.name = ""Kevin Spacey""",SELECT actor.birth_year FROM actor WHERE actor.name IN ( SELECT actor.name FROM actor WHERE actor.name = 'Kevin Spacey' ),"[(1959,)]","[(1959,)]",True
IMDB_train_100,imdb,"How many movies did "" Matt Damon "" direct ?",return movies; return #1 that Matt Damon direct; return number of #2,"select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = ""Matt Damon"" and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;","SELECT COUNT(movie.mid) FROM director, directed_by, movie WHERE movie.mid = directed_by.msid AND directed_by.did = director.did AND director.name = 'Matt Damon'","[(0,)]","[(0,)]",True
IMDB_train_101,imdb,"How many movies did "" Quentin Tarantino "" direct after 2010 ?",return movies; return #1 that Quentin Tarantino direct; return #2 after 2010; return number of #3,"select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = ""Quentin Tarantino"" and movie_0.release_year  >  2010 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;","SELECT COUNT(movie.mid) FROM director, directed_by, movie WHERE movie.mid = directed_by.msid AND directed_by.did = director.did AND director.name = 'Quentin Tarantino' AND movie.release_year > 2010","[(2,)]","[(2,)]",True
IMDB_train_102,imdb,"How many movies did "" Quentin Tarantino "" direct before 2010 ?",return movies; return #1 that Quentin Tarantino direct; return #2 before 2010; return number of #3,"select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = ""Quentin Tarantino"" and movie_0.release_year < 2010 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;","SELECT COUNT(movie.mid) FROM director, directed_by, movie WHERE movie.mid = directed_by.msid AND directed_by.did = director.did AND director.name = 'Quentin Tarantino' AND movie.release_year < 2010","[(12,)]","[(12,)]",True
IMDB_train_103,imdb,"How many movies did "" Quentin Tarantino "" direct before 2002 and after 2010 ?","return movies; return #1 that Quentin Tarantino direct; return #2 before 2002; return #2 after 2010; return #3 , #4; return number of #5","select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, made_by as made_by_0, movie as movie_0, producer as producer_0 where director_0.name = ""Quentin Tarantino"" and movie_0.release_year < 2002 and movie_0.release_year  >  2010 and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid and made_by_0.msid = movie_0.mid and made_by_0.pid = producer_0.pid","SELECT COUNT(tv_series.title_aka) FROM director, tv_series, movie, directed_by WHERE tv_series.release_year = movie.release_year AND tv_series.sid = directed_by.msid AND directed_by.did = director.did AND director.name = 'Quentin Tarantino' AND ((movie.release_year < 2002) OR (movie.release_year > 2010))","[(0,)]","[(0,)]",True
IMDB_train_104,imdb,"What is the number of movies featuring "" Brad Pitt "" ?",return movies; return #1 featuring Brad Pitt; return number of #2,"select count(distinct(movie_0.title)) from actor as actor_0, cast as cast_0, movie as movie_0 where actor_0.name = ""Brad Pitt"" and actor_0.aid = cast_0.aid and cast_0.msid = movie_0.mid ;","SELECT COUNT(DISTINCT movie.title) FROM cast, actor, movie WHERE movie.mid = cast.msid AND cast.aid = actor.aid AND actor.name = 'Brad Pitt'","[(53,)]","[(53,)]",True
IMDB_train_105,imdb,"How many movies did "" Steven Spielberg "" direct ?",return movies; return #1 that Steven Spielberg direct; return number of #2,"select count(distinct(movie_0.title)) from directed_by as directed_by_0, director as director_0, movie as movie_0 where director_0.name = ""Steven Spielberg"" and directed_by_0.did = director_0.did and directed_by_0.msid = movie_0.mid ;","SELECT COUNT(movie.mid) FROM director, directed_by, movie WHERE movie.mid = directed_by.msid AND directed_by.did = director.did AND director.name = 'Steven Spielberg'","[(49,)]","[(49,)]",True
IMDB_train_106,imdb,How many movies did Netflix produce ?,return movies; return #1 that Netflix produce; return number of #2,"select count(distinct(movie_0.title)) from company as company_0, copyright as copyright_0, movie as movie_0 where company_0.name = ""Netflix"" and company_0.id = copyright_0.cid and copyright_0.msid = movie_0.mid ;","SELECT COUNT(movie.mid) FROM company, copyright, movie WHERE movie.mid = copyright.msid AND copyright.cid = company.id AND company.name = 'Netflix'","[(26,)]","[(26,)]",True
